original_title|canonical_title|source
(i can't get no) satisfaction|Satisfaction|learned
(i cant get no) satisfaction|Satisfaction|learned
...here comes sunshine|Here Comes Sunshine|learned
// viola lee|Viola Lee Blues|learned
02 i need a miracle|I Need A Miracle|learned
02 jack straw|Jack Straw|learned
03 they love each other|They Love Each Other|learned
04 good lovin'|Good Lovin'|learned
04 mama tried|Mama Tried|learned
05 mexicali blues|Mexicali Blues|learned
05 scarlet begonias|Scarlet Begonias|learned
06 fire on the mountain|Fire On The Mountain|learned
07 looks like rain|Looks Like Rain|learned
07 playing in the band|Playing In The Band|learned
08 shakedown street|Shakedown Street|learned
08 stagger lee|Stagger Lee|learned
09 passenger|Passenger|learned
10 ollin arrageed *|Ollin Arageed|learned
10 tennessee jed|Tennessee Jed|learned
12 saint stephen|Saint Stephen|learned
13 not fade away|Not Fade Away|learned
14 goin' down the road feeling bad|Goin' Down The Road Feelin' Bad|learned
15 around and around **|Around And Around|learned
17 one more saturday night **|One More Saturday Night|learned
aiko - aiko|Iko Iko|learned
aiko aiko|Iko Iko|learned
alabma getaway|Alabama Getaway|learned
all over now|It's All Over Now|learned
around|Around And Around|learned
around & aroiund|Around And Around|learned
around & around|Around And Around|learned
around & round|Around And Around|learned
around around|Around And Around|learned
arounf & around|Around And Around|learned
beat it on down the line\|Beat It On Down The Line|learned
beat it on dwon the line|Beat It On Down The Line|learned
beat it on the line|Beat It On Down The Line|learned
berhta|Bertha|learned
berhta>|Bertha|learned
big biver|Big River|learned
big rvier|Big River|learned
black-throated wind|Black Throated Wind|learned
born cross-eyed>feedback|Born Cross-Eyed|learned
broewn eyed women|Brown Eyed Women|learned
brow eyed women|Brown Eyed Women|learned
brown eyed woman|Brown Eyed Women|learned
brown-eyed women|Brown Eyed Women|learned
candymn|Candyman|learned
cassisy|Cassidy|learned
caution (do not step on the tracks)|Caution|learned
caution (do not stop on tracks)|Caution|learned
caution > feedback|Caution|learned
cc rider|C.C. Rider|learned
china cat sunflower|China Cat Sunflower|learned
china cat sunflowr|China Cat Sunflower|learned
close encounter space|Close Encounters|learned
cnadyman|Candyman|learned
cold rain & snow|Cold Rain And Snow|learned
cryptical|Cryptical Envelopment|learned
cryptical envelopment reprise|Cryptical Envelopment|learned
cryptical reprise|Cryptical Envelopment|learned
dancin' in the strees|Dancin' In The Streets|learned
dancin' in the streets|Dancin' In The Streets|learned
dancin' in the streets.flac|Dancin' In The Streets|learned
dancing in the street|Dancin' In The Streets|learned
dancing in the streets|Dancin' In The Streets|learned
dancing in the streets ->|Dancin' In The Streets|learned
dancing in the streets >|Dancin' In The Streets|learned
danincing in the streets|Dancin' In The Streets|learned
dark star|Dark Star|learned
dark star jam|Dark Star|learned
dark star jam >|Dark Star|learned
dark star jam>|Dark Star|learned
dath  don't hve no mercy|Death Don't Have No Mercy|learned
dath don't hve no mercy|Death Don't Have No Mercy|learned
death don't have no mercy.flac|Death Don't Have No Mercy|learned
death don't hve no mercy|Death Don't Have No Mercy|learned
dont ease me in|Don't Ease Me In|learned
drums *|Drums|learned
drums ->|Drums|learned
drums -> *|Drums|learned
drums > *|Drums|learned
drums > **|Drums|learned
drums%|Drums|learned
drums*|Drums|learned
drums**|Drums|learned
drums->|Drums|learned
dupree's diamond blues ;|Dupree's Diamond Blues|learned
e: u.s. blues|U.S. Blues|learned
esitmated prophet|Estimated Prophet|learned
estamated prophet|Estimated Prophet|learned
estimated prophet|Estimated Prophet|learned
estimated prophet.flac|Estimated Prophet|learned
